,id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
0,12333,0,Twilight Struggle,2005.0,2.0,2.0,180.0,180.0,180.0,13.0,20113,8.33774,26647,372,1219,5865,5347,2562,3.4785
1,120677,0,Terra Mystica,2012.0,2.0,5.0,150.0,60.0,150.0,12.0,14383,8.28798,16519,132,1586,6277,2526,1423,3.8939
2,102794,0,Caverna: The Cave Farmers,2013.0,1.0,7.0,210.0,30.0,210.0,12.0,9262,8.28994,12230,99,1476,5600,1700,777,3.7761
3,25613,0,Through the Ages: A Story of Civilization,2006.0,2.0,4.0,240.0,240.0,240.0,12.0,13294,8.20407,14343,362,1084,5075,3378,1642,4.159
4,3076,0,Puerto Rico,2002.0,2.0,5.0,150.0,90.0,150.0,12.0,39883,8.14261,44362,795,861,5414,9173,5213,3.2943
5,31260,0,Agricola,2007.0,1.0,5.0,150.0,30.0,150.0,12.0,39714,8.11957,47522,837,958,6402,9310,5065,3.616
6,124742,0,Android: Netrunner,2012.0,2.0,2.0,45.0,45.0,45.0,14.0,15281,8.1676,24381,680,627,3244,3202,1260,3.3103
7,96848,0,Mage Knight Board Game,2011.0,1.0,4.0,150.0,150.0,150.0,14.0,12697,8.15901,18769,367,1116,5427,2861,1409,4.1292
8,84876,0,The Castles of Burgundy,2011.0,2.0,4.0,90.0,30.0,90.0,12.0,15461,8.07879,20558,215,929,3681,3244,1176,3.0442
9,72125,0,Eclipse,2011.0,2.0,6.0,200.0,60.0,200.0,14.0,15709,8.07933,17611,273,1108,5581,3188,1486,3.6359
10,2651,0,Power Grid,2004.0,2.0,6.0,120.0,120.0,120.0,12.0,34422,7.9888,38633,550,1171,6157,7531,3998,3.2911
11,164153,0,Star Wars: Imperial Assault,2014.0,2.0,5.0,90.0,90.0,90.0,0.0,3980,8.43944,8477,57,701,2970,736,360,3.225
12,115746,0,War of the Ring (second edition),2012.0,2.0,4.0,150.0,150.0,150.0,13.0,3870,8.35044,6257,71,677,2431,771,288,3.9375
13,121921,0,Robinson Crusoe: Adventures on the Cursed Island,2012.0,1.0,4.0,180.0,90.0,180.0,14.0,10539,8.09283,15896,217,1379,5821,2109,896,3.6328
14,35677,0,Le Havre,2008.0,1.0,5.0,200.0,100.0,200.0,12.0,15774,7.99115,16429,205,1343,5149,3458,1450,3.7531
15,28720,0,Brass,2007.0,3.0,4.0,180.0,120.0,180.0,13.0,8785,8.03071,9171,149,798,2858,2259,1012,3.8646
16,126163,0,Tzolk'in: The Mayan Calendar,2012.0,2.0,4.0,90.0,90.0,90.0,13.0,12143,7.98673,13958,120,1056,3945,2144,933,3.5595
17,150376,0,Dead of Winter: A Crossroads Game,2014.0,2.0,5.0,210.0,45.0,210.0,14.0,9188,8.05776,13692,144,1086,4956,1602,608,2.9408
18,68448,0,7 Wonders,2010.0,2.0,7.0,30.0,30.0,30.0,10.0,36732,7.87047,44982,464,1046,5806,7126,2917,2.3384
19,18602,0,Caylus,2005.0,2.0,5.0,150.0,60.0,150.0,12.0,19160,7.89829,18885,353,878,4011,4984,2894,3.8252
20,122515,0,Keyflower,2012.0,2.0,6.0,120.0,90.0,120.0,12.0,6753,7.98786,8599,78,1017,3197,1442,517,3.3056
21,40834,0,Dominion: Intrigue,2009.0,2.0,4.0,30.0,30.0,30.0,13.0,19261,7.85479,26403,374,461,2281,3005,1121,2.4469
22,62219,0,Dominant Species,2010.0,2.0,6.0,240.0,120.0,240.0,14.0,10187,7.89276,11003,243,1017,4285,2613,1070,4.0103
23,28143,0,Race for the Galaxy,2007.0,2.0,4.0,60.0,30.0,60.0,12.0,28655,7.80281,33736,708,761,4597,6807,2922,2.9617
24,103885,0,Star Wars: X-Wing Miniatures Game,2012.0,2.0,4.0,60.0,60.0,60.0,14.0,11194,7.93301,19899,334,421,1826,2183,911,2.4577
25,93,0,El Grande,1995.0,2.0,5.0,120.0,60.0,120.0,12.0,15853,7.83279,15556,261,1130,3787,4250,1861,3.0919
26,146021,0,Eldritch Horror,2013.0,1.0,8.0,240.0,120.0,240.0,14.0,8388,7.97188,13668,147,643,3447,1585,674,3.2834
27,110327,0,Lords of Waterdeep,2012.0,2.0,5.0,60.0,60.0,60.0,12.0,19864,7.82181,24419,257,995,4706,3898,1493,2.5177
28,37111,0,Battlestar Galactica,2008.0,3.0,6.0,240.0,120.0,240.0,10.0,20833,7.82752,22735,514,643,4005,4817,1783,3.2013
29,12493,0,Twilight Imperium (Third Edition),2005.0,3.0,6.0,240.0,180.0,240.0,12.0,12064,7.88473,13771,287,927,4650,3369,1761,4.1942
30,36218,0,Dominion,2008.0,2.0,4.0,30.0,30.0,30.0,13.0,44319,7.77298,55501,1162,511,4362,9078,4089,2.3766
31,128882,0,The Resistance: Avalon,2012.0,5.0,10.0,30.0,30.0,30.0,13.0,9639,7.86147,14186,184,305,1674,1711,522,1.8027
32,42,0,Tigris & Euphrates,1997.0,2.0,4.0,90.0,90.0,90.0,12.0,17762,7.7634,18723,442,929,3778,5092,2364,3.533
33,9609,0,War of the Ring (first edition),2004.0,2.0,4.0,180.0,180.0,180.0,12.0,8325,7.85143,10675,326,506,2025,2756,1337,3.8362
34,101721,0,Mage Wars Arena,2012.0,2.0,2.0,90.0,90.0,90.0,13.0,4727,8.04424,8258,360,444,2413,1121,439,3.5763
